Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
46,FI_11,FI_11 fossil_gas,fossil_gas,112.4008665,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
47,FI_11,FI_11 biomass,biomass,179.5703855,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
48,FI_12,FI_12 biomass,biomass,242.4311539,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
49,FI_12,FI_12 fossil_gas,fossil_gas,151.7481387,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
50,FI_12,FI_12 fossil_other,fossil_other,280.6730786,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
51,FI_12,FI_12 nuclear,nuclear,1193.031576,238.6063153,9.37,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
52,FI_12,FI_12 solar,solar,4.094237956,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
53,FI_12,FI_12 wind_on,wind_on,716.4045308,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
54,FI_12,FI_12 ror,ror,174.89769872965732,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
55,FI_13,FI_13 biomass,biomass,308.0384063,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
56,FI_13,FI_13 fossil_gas,fossil_gas,192.814554,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
57,FI_13,FI_13 fossil_other,fossil_other,356.6294449,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
58,FI_13,FI_13 solar,solar,5.202229643,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
59,FI_13,FI_13 wind_on,wind_on,910.2795018,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
60,FI_13,FI_13 ror,ror,222.2288988697617,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
61,FI_14,FI_14 wind_on,wind_on,350.7515625,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
62,FI_14,FI_14 ror,ror,85.62988992823742,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
63,FI_14,FI_14 hydro,hydro,2.3239436619354628,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
64,FI_14,FI_14 fossil_other,fossil_other,137.4175018,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
65,FI_14,FI_14 fossil_gas,fossil_gas,74.29586843,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
66,FI_14,FI_14 biomass,biomass,118.6942605,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
67,FI_14,FI_14 solar,solar,2.004538356,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
68,FI_2,FI_2 ror,ror,54.851327632944425,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
69,FI_2,FI_2 wind_on,wind_on,224.6784259,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
70,FI_2,FI_2 hydro,hydro,18.16901408422271,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
71,FI_2,FI_2 solar,solar,1.284032833,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
72,FI_2,FI_2 biomass,biomass,76.03113561,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
73,FI_2,FI_2 fossil_gas,fossil_gas,47.59117436,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
74,FI_2,FI_2 fossil_other,fossil_other,88.02454867,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
75,FI_3,FI_3 ror,ror,163.8391691523656,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
76,FI_3,FI_3 solar,solar,3.835365188,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
77,FI_3,FI_3 fossil_gas,fossil_gas,142.1533225,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
78,FI_3,FI_3 wind_on,wind_on,671.1073044,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
79,FI_3,FI_3 fossil_other,fossil_other,262.9265242,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
80,FI_3,FI_3 biomass,biomass,227.1025812,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
81,FI_4,FI_4 biomass,biomass,253.5524027,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
82,FI_4,FI_4 fossil_gas,fossil_gas,158.7094091,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
83,FI_4,FI_4 wind_on,wind_on,749.2687604,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
84,FI_4,FI_4 fossil_other,fossil_other,293.5486316,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
85,FI_4,FI_4 solar,solar,4.282056388,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
86,FI_4,FI_4 hydro,hydro,35.49295774592343,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
87,FI_4,FI_4 ror,ror,182.9209284478416,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
88,FI_5,FI_5 hydro,hydro,4.436619718240428,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
89,FI_5,FI_5 ror,ror,43.76373591480809,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
90,FI_5,FI_5 wind_on,wind_on,179.2621568,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
91,FI_5,FI_5 solar,solar,1.024479739,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
92,FI_5,FI_5 biomass,biomass,60.662279,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
93,FI_5,FI_5 fossil_other,fossil_other,70.23135571,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
94,FI_5,FI_5 fossil_gas,fossil_gas,37.97114266,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
95,FI_6,FI_6 solar,solar,3.324316015,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
96,FI_6,FI_6 fossil_gas,fossil_gas,123.211883,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
97,FI_6,FI_6 hydro,hydro,20.07042253489718,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
98,FI_6,FI_6 wind_on,wind_on,581.6845726,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
99,FI_6,FI_6 fossil_other,fossil_other,227.8924724,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
100,FI_6,FI_6 biomass,biomass,196.8419462,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
101,FI_6,FI_6 ror,ror,142.00816542031288,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
102,FI_7,FI_7 fossil_gas,fossil_gas,78.84830815,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
103,FI_7,FI_7 hydro,hydro,59.859154928640706,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
104,FI_7,FI_7 ror,ror,90.87681577322572,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
105,FI_7,FI_7 biomass,biomass,125.9671881,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
106,FI_7,FI_7 fossil_other,fossil_other,145.8376859,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
107,FI_7,FI_7 solar,solar,2.127365375,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
108,FI_7,FI_7 wind_on,wind_on,372.2436775,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
109,FI_8,FI_8 biomass,biomass,71.7028617,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
110,FI_8,FI_8 fossil_other,fossil_other,83.01351793,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
111,FI_8,FI_8 wind_on,wind_on,211.888011,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
112,FI_8,FI_8 ror,ror,51.728770428767945,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
113,FI_8,FI_8 hydro,hydro,2.394366197145628,0.0,1.0,0.46,inflow_NO1,0.0,17.5,hydro,const,0.6,0.0,0.0,0.0,,,,created,
114,FI_8,FI_8 solar,solar,1.210935861,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
115,FI_8,FI_8 fossil_gas,fossil_gas,44.88192062,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
116,FI_9,FI_9 ror,ror,76.72144366077119,0.0,0.0,0.46,inflow_NO1,0.0,17.5,ror,const,0.6,0.0,0.0,0.0,,,,created,
117,FI_9,FI_9 biomass,biomass,106.3459854,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
118,FI_9,FI_9 fossil_other,fossil_other,123.1213673,0.0,110.19,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
119,FI_9,FI_9 solar,solar,1.795997598,0.0,0.01,0.8,solar_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
120,FI_9,FI_9 wind_on,wind_on,314.261367,0.0,0.015,0.8,windon_FI,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
121,FI_9,FI_9 fossil_gas,fossil_gas,66.56654928,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
122,NO1_1,NO1_1 wind_on,wind_on,111.4826843900188,0.0,0.015,0.8,windon_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
123,NO1_1,NO1_1 biomass,biomass,6.004437069,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
124,NO1_1,NO1_1 fossil_gas,fossil_gas,1.236207632,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
125,NO1_1,NO1_1 solar,solar,328.82454488168577,0.0,0.01,0.8,solar_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
126,NO1_1,NO1_1 ror,ror,746.9320723768111,0.0,0.0,0.46,inflow_NO1,0.0,13.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
127,NO1_1,NO1_1 hydro,hydro,402.9237266927304,0.0,0.0,0.46,inflow_NO1,2324337.478771869,13.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
128,NO1_2,NO1_2 biomass,biomass,3.373183272,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
129,NO1_2,NO1_2 hydro,hydro,226.35520341977102,0.0,0.0,0.46,inflow_NO1,1305770.4174872846,13.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
130,NO1_2,NO1_2 wind_on,wind_on,62.628939529315424,0.0,0.015,0.8,windon_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
131,NO1_2,NO1_2 fossil_gas,fossil_gas,0.694478909,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
132,NO1_2,NO1_2 solar,solar,184.72763412905843,0.0,0.01,0.8,solar_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
133,NO1_2,NO1_2 ror,ror,419.612820196613,0.0,0.0,0.46,inflow_NO1,0.0,13.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
134,NO1_3,NO1_3 fossil_gas,fossil_gas,3.982969984,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
135,NO1_3,NO1_3 biomass,biomass,19.34585421,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
136,NO1_3,NO1_3 wind_on,wind_on,359.18900196529074,0.0,0.015,0.8,windon_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
137,NO1_3,NO1_3 hydro,hydro,1298.1905849317536,0.0,0.0,0.46,inflow_NO1,7488844.243066694,13.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
138,NO1_3,NO1_3 solar,solar,1059.4484762641364,0.0,0.01,0.8,solar_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
139,NO1_3,NO1_3 ror,ror,2406.560149535442,0.0,0.0,0.46,inflow_NO1,0.0,13.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
140,NO1_4,NO1_4 solar,solar,100.66888913886568,0.0,0.01,0.8,solar_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
141,NO1_4,NO1_4 ror,ror,228.6715611597416,0.0,0.0,0.46,inflow_NO1,0.0,13.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
142,NO1_4,NO1_4 fossil_gas,fossil_gas,0.378462165,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
143,NO1_4,NO1_4 biomass,biomass,1.8382448,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
144,NO1_4,NO1_4 wind_on,wind_on,34.13017115182041,0.0,0.015,0.8,windon_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
145,NO1_4,NO1_4 hydro,hydro,123.35418570452273,0.0,0.0,0.46,inflow_NO1,711590.6509381775,13.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
146,NO1_5,NO1_5 biomass,biomass,3.438280653,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
147,NO1_5,NO1_5 wind_on,wind_on,63.83758417941293,0.0,0.015,0.8,windon_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
148,NO1_5,NO1_5 ror,ror,427.71071851247945,0.0,0.0,0.46,inflow_NO1,0.0,13.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
149,NO1_5,NO1_5 hydro,hydro,230.72351963569812,0.0,0.0,0.46,inflow_NO1,1330969.8292553157,13.0,hydro,const,0.6,0.0,0.0,0.0,,,,created,
150,NO1_5,NO1_5 fossil_gas,fossil_gas,0.707881311,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
151,NO1_5,NO1_5 solar,solar,188.29260052006939,0.0,0.01,0.8,solar_NO1,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
152,NO2_1,NO2_1 ror,ror,1086.2575859179492,0.0,0.0,0.46,inflow_NO2,0.0,17.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
154,NO2_1,NO2_1 fossil_gas,fossil_gas,13.24292607,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
155,NO2_1,NO2_1 biomass,biomass,12.66714667,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
156,NO2_1,NO2_1 hydro,hydro,7446.883305594586,0.0,0.0,0.46,inflow_NO2,23818985.223341756,17.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
157,NO2_1,NO2_1 solar,solar,1169.2690831649945,0.0,0.01,0.8,solar_NO2,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
158,NO2_1,NO2_1 wind_on,wind_on,1295.4261305672483,0.0,0.015,0.8,windon_NO2,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
159,NO2_2,NO2_2 hydro,hydro,489.86074795046585,0.0,0.0,0.46,inflow_NO2,1566828.0856615487,17.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
160,NO2_2,NO2_2 biomass,biomass,0.833253012,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
161,NO2_2,NO2_2 fossil_gas,fossil_gas,0.871128149,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
162,NO2_2,NO2_2 wind_on,wind_on,85.2139596204987,0.0,0.015,0.8,windon_NO2,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
163,NO2_2,NO2_2 ror,ror,71.45471894168698,0.0,0.0,0.46,inflow_NO2,0.0,17.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
165,NO2_3,NO2_3 biomass,biomass,1.926978928,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
166,NO2_3,NO2_3 fossil_gas,fossil_gas,2.01456888,0.0,137.52,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
168,NO2_3,NO2_3 ror,ror,165.24601265526854,0.0,0.0,0.46,inflow_NO2,0.0,17.0,ror,const,0.6,0.0,0.0,0.0,,,,created,
169,NO2_3,NO2_3 wind_on,wind_on,197.06559976209607,0.0,0.015,0.8,windon_NO2,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,updated,
170,NO2_3,NO2_3 hydro,hydro,1132.8507975156017,0.0,0.0,0.46,inflow_NO2,3623442.894632992,17.0,hydro,const,0.6,0.0,0.0,5.0,,,,updated,
171,NO2_4,NO2_4 biomass,biomass,4.296969472,0.0,15.0,1.0,const,0.0,1.0,const,const,0.6,0.0,0.0,0.0,,,,created,
